dutch_word,english1,sentence1,english2,sentence2
"richting","direction","Ze liepen in de verkeerde richting.","way","De richting naar het station is rechts."
"rij","row","Ze zaten op de eerste rij.","line","De rij voor de kassa was lang."
"rijden","to drive","Hij kan goed rijden.","to ride","Ze reden op een paard."
"rijk (het)","kingdom","Het Romeinse rijk was groot.","realm","Het rijk strekte zich ver uit."
"rijk","rich","Hij is een rijk man.","wealthy","Ze voelen zich rijk met vrienden."
"rijst","rice","Ze kookten rijst voor het avondeten.","grain","De rijst smaakte lekker."
"ring","ring","Hij droeg een gouden ring.","circle","Ze maakten een ring van bloemen."
"rivier","river","De rivier stroomt snel.","stream","Ze voeren over de rivier."
"roepen","to call","Ze roepen de kinderen binnen.","to shout","Hij riep om hulp."
"rok","skirt","Ze droeg een blauwe rok.","dress","De rok hing aan de kapstok."
"roken","to smoke","Hij wil stoppen met roken.","to emit smoke","De schoorsteen rookt."
"rol","role","Ze speelde een grote rol in het team.","roll","De rol papier viel op de grond."
"roman","novel","Ze leest een spannende roman.","story","Hij schreef een roman."
"rond","round","De tafel is rond.","around","Ze keken rond."
"rond (vz)","around","Ze liepen rond het plein.","about","Ze reisden rond de wereld."
"rondom","around","Er stonden hekken rondom het huis.","all around","Ze keken rondom zich heen."
"rood","red","De appel is rood.","scarlet","Ze droeg een rode jurk."
"rook","smoke","De rook was dik en grijs.","fumes","Er kwam rook uit de schoorsteen."
"rot","rotten","Het brood was rot.","bad","Wat een rotzooi."
"rug","back","Hij droeg een rugzak.","spine","Ze had pijn in haar rug."
"ruim","spacious","Het huis is ruim.","ample","Er is ruim voldoende tijd."
"ruimte","space","Ze heeft ruimte nodig om te werken.","room","De ruimte was licht en groot."
"rust","rest","Neem wat rust.","peace","Er heerste rust in het dorp."
"rusten","to rest","Ze gingen even rusten.","to relax","Hij rustte na het werk."
"rustig","quiet","Het was rustig in het park.","calm","Ze spraken rustig met elkaar."
"ruzie","quarrel","Ze kregen ruzie over geld.","argument","De ruzie werd opgelost."
"S","S","De letter S komt na R.","es","Ze oefent de S."
"ʻs","'s","ʻs Avonds gaan we uit.","in the","ʻs Morgens werken ze."
"samen","together","Ze werken samen aan het project.","jointly","Samen gingen ze op reis."
"samenleving","society","De samenleving verandert snel.","community","Ze wonen in een multiculturele samenleving."
"samenwerking","cooperation","Ze werken in samenwerking met anderen.","collaboration","De samenwerking was succesvol."
"schaal","scale","De schaal van het project is groot.","dish","Ze serveerden salade in een schaal."
"schaduw","shadow","Er viel een schaduw op de muur.","shade","De boom gaf schaduw."
"scheiden","to separate","Ze besloten te scheiden.","to divorce","Ze zijn officieel gescheiden."
"schelen","to matter","Wat scheelt er?","to differ","Het scheelt niet veel."
"schenken","to give","Ze schonken geld aan het goede doel.","to pour","Hij schonk wijn in."
"scheppen","to create","Ze willen een nieuwe sfeer scheppen.","to scoop","Ze schepte soep op."
"scherp","sharp","Het mes is scherp.","keen","Hij heeft een scherp verstand."
"scheuren","to tear","Ze scheurde de brief doormidden.","to rip","De broek scheurde."
"schieten","to shoot","Ze schoten op het doel.","to fire","Hij schoot een pijl af."
"schijnen","to shine","De zon schijnt fel.","to seem","Het schijnt dat hij komt."
"schilderen","to paint","Ze willen het huis schilderen.","to decorate","Hij schilderde een landschap."
"schip (het)","ship","Het schip ligt in de haven.","boat","Ze voeren met een schip."
"schitterend","brilliant","Het uitzicht is schitterend.","wonderful","Ze hadden een schitterende dag."
"schoen","shoe","Zijn schoen was kapot.","footwear","Ze kochten nieuwe schoenen."
"school","school","Ze gaat elke dag naar school.","educational institution","De school sluit om drie uur."
"schoon","clean","Het huis is schoon.","beautiful","Ze is een schone vrouw."
"schoonmaken","to clean","Ze moeten de keuken schoonmaken.","to tidy","Hij maakte het bord schoon."
"schot (het)","shot","Ze hoorden een hard schot.","partition","Er zit een schot tussen de kamers."
"schouder","shoulder","Hij droeg de tas op zijn schouder.","upper arm","Zijn schouder doet pijn."
"schreeuwen","to scream","Ze begonnen te schreeuwen.","to yell","Hij schreeuwde om hulp."
"schrijven","to write","Ze schrijven een brief.","to compose","Hij schreef een boek."
"schrijver","writer","De schrijver van het boek is bekend.","author","Ze ontmoetten de schrijver."
"schrikken","to be startled","Ze schrok van het geluid.","to be frightened","Hij schrok van de hond."
"schudden","to shake","Ze moesten het flesje schudden.","to nod","Hij schudde zijn hoofd."
"schuiven","to slide","Ze schoof het boek naar hem toe.","to push","Hij schoof de stoel."
"schuld","debt","Hij heeft veel schuld.","fault","Het was mijn schuld."
"schuur","shed","Het gereedschap staat in de schuur.","barn","Ze timmerden in de schuur."
"seconde","second","Een minuut heeft zestig seconden.","moment","Wacht een seconde."
"sedert (vz)","since","Sedert vorig jaar wonen ze hier.","from","Sedert de oorlog is veel veranderd."
"sedert (vw)","since","Sedert ik hem ken, ben ik blij.","ever since","Sedert hij vertrok, is het stil."
"seizoen (het)","season","De lente is mijn favoriete seizoen.","term","Het seizoen begint in maart."
"seksueel","sexual","Ze spraken over seksuele voorlichting.","erotic","Seksuele relaties kwamen ter sprake."
"september","September","Ze beginnen school in september.","Sep","September is een herfstmaand."
"serie","series","Ze keken een nieuwe serie.","set","Een serie boeken staat op de plank."
"sfeer","atmosphere","De sfeer was gezellig.","ambiance","Ze creëerden een fijne sfeer."
"sigaret","cigarette","Hij rookt een sigaret.","smoke","Ze kocht een pakje sigaretten."
"signalement (het)","description","Het signalement van de verdachte is bekend.","identification","Ze gaven een signalement door."
"sinds (vz)","since","Sinds vorige week zijn ze thuis.","from","Sinds de vakantie is hij hier."
"sinds (vw)","since","Sinds hij kwam, is het druk.","ever since","Sinds ik haar ken, is het leuk."
"situatie","situation","De situatie is moeilijk.","circumstance","Ze spraken over de situatie."
"sjaal","scarf","Ze droeg een warme sjaal.","shawl","De sjaal was rood."
"sla","lettuce","Ze aten sla bij het diner.","greens","De sla was vers."
"slaan","to hit","Hij sloeg met de hamer.","to beat","Ze slaan op de trommel."
"slaap","sleep","Ze hadden slaap nodig.","slumber","De slaap was onrustig."
"slachtoffer (het)","victim","Het slachtoffer werd geholpen.","casualty","Ze troostten het slachtoffer."
"slag","hit","Hij gaf een harde slag.","battle","De slag om de stad was zwaar."
"slagen","to succeed","Hij wil voor het examen slagen.","to pass","Ze slaagde voor haar rijbewijs."
"slager","butcher","De slager sneed vlees.","meat seller","Ze gingen naar de slager."
"slapen","to sleep","Ze gingen vroeg slapen.","to rest","Hij sliep diep."
"slecht","bad","Het weer is slecht.","poor","Ze voelden zich slecht."
"slechts","only","Slechts tien mensen kwamen.","merely","Hij las slechts één bladzijde."
"sleutel","key","Ze verloor haar sleutel.","clue","De sleutel van het succes."
"slim","smart","Hij is een slim kind.","clever","Ze bedachten een slimme oplossing."
"slopen","to demolish","Ze willen het gebouw slopen.","to break down","Hij sloopte de muur."
"slot (het)","lock","Het slot van de deur is kapot.","ending","Het slot van het boek was verrassend."
"sluiten","to close","Ze sluiten de winkel om zes uur.","to shut","Hij sloot het raam."
"smakelijk","tasty","Smakelijk eten!","pleasant","Ze hadden een smakelijke maaltijd."
"smaken","to taste","De soep smaakt lekker.","to flavor","Ze smaken verschillende wijnen."
"smal","narrow","Het pad is smal.","thin","Ze liepen door een smalle gang."
"snappen","to understand","Snap je wat ik bedoel?","to get","Ze snapte het snel."
"snel","fast","De trein is snel.","quick","Hij liep snel naar huis."
"snijden","to cut","Hij ging het brood snijden.","to slice","Ze sneden groenten."
"snoep (de, het)","candy","De kinderen kregen snoep.","sweets","Hij kocht een zak snoep."
"sociaal","social","Ze zijn sociaal actief.","friendly","Hij is een sociaal mens."
"sociologie","sociology","Ze studeert sociologie.","social science","Sociologie is interessant."
"sok","sock","Ze droeg een blauwe sok.","stocking","Hij verloor een sok."
"soldaat","soldier","De soldaat marcheerde trots.","military man","Ze spraken met een soldaat."
"somber","gloomy","Het weer was somber.","dark","Hij keek somber."
"sommige","some","Sommige mensen werken thuis.","certain","Sommige dagen zijn druk."
"soms","sometimes","Soms regent het hier.","occasionally","Soms is het rustig."
"soort (het)","kind","Welke soort bloemen zijn dit?","type","Ze probeerden een ander soort."
"sorry","sorry","Sorry dat ik te laat ben.","apology","Ze zei sorry."
"spanning","tension","De spanning was voelbaar.","thrill","De film bracht spanning."
"speciaal","special","Ze hadden een speciaal menu.","particular","Dit is speciaal voor jou."
"spel (het)","game","Ze speelden een leuk spel.","play","Het spel was spannend."
"spelen","to play","Ze spelen buiten.","to perform","Hij speelt gitaar."
"speler","player","Elke speler heeft een nummer.","contestant","De speler scoorde een doelpunt."
"spiegel","mirror","Ze keek in de spiegel.","glass","De spiegel hing aan de muur."
"spijten","to regret","Het zal me spijten als ik niet ga.","to be sorry","Het spijt me."
"spoedig","soon","Ze komen spoedig terug.","quickly","Ze gingen spoedig weg."
"spoor (het)","track","Het spoor leidt naar het station.","rail","Ze volgden het spoor."
"sport","sport","Ze doen aan sport.","athletics","Sport is gezond."
"sprake","question","Daar is geen sprake van.","matter","Er is sprake van verandering."
"spreken","to speak","Ze willen met je spreken.","to talk","Hij sprak zacht."
"springen","to jump","De kinderen springen op het bed.","to leap","Hij sprong over de sloot."
"staan","to stand","Ze stonden in de rij.","to be","Het boek staat op tafel."
"staat","state","De staat is verantwoordelijk.","nation","Ze spraken over de staat."
"stad","city","Amsterdam is een grote stad.","town","De stad is druk."
"staking","strike","De staking begon om acht uur.","walkout","Ze spraken over een staking."
"stal","stable","De paarden stonden in de stal.","shed","Ze keken in de stal."
"stand","position","De stand is 2-1.","stance","Ze namen standpunt in."
"standpunt (het)","point of view","Ik begrijp je standpunt.","opinion","Ze gaven hun standpunt."
"stap","step","Zet een stap naar voren.","move","Ze maakten een stap."
"stappen","to step","Ze stappen de bus in.","to walk","Ze stapten door het park."
"staren","to stare","Ze bleven naar het schilderij staren.","to gaze","Hij staarde naar buiten."
"station (het)","station","Ze wachten op het station.","railway","Het station is nieuw."
"steeds","always","Ze blijven steeds lachen.","constantly","Hij belt steeds terug."
"steen","stone","Ze gooiden een steen in het water.","rock","Een steen lag op het pad."
"steken","to stab","Hij stak met een mes.","to insert","Ze steken bloemen in de vaas."
"stelen","to steal","Ze willen niet stelen.","to rob","Hij stal geld."
"stellen","to put","Ze stelde een vraag.","to state","Hij stelde een plan voor."
"stellig","firm","Ze was stellig in haar antwoord.","sure","Hij is stellig van mening."
"stem","voice","Zijn stem was luid.","vote","Ze gaven hun stem."
"stemmen","to vote","Ze stemmen op een partij.","to tune","Hij stemde de gitaar."
"sterk","strong","Ze is een sterke vrouw.","powerful","Het signaal is sterk."
"sterven","to die","De oude man stierf.","to pass away","Ze sterven vaak jong."
"steun","support","Ze kregen steun van vrienden.","help","De steun was welkom."
"steunen","to support","Ze steunen goede doelen.","to lean","Hij steunde op zijn stok."
"stichting","foundation","Ze richtten een stichting op.","organization","De stichting helpt armen."
"stijgen","to rise","De prijzen stijgen.","to increase","Het vliegtuig stijgt op."
"stijl","style","Zijn stijl is uniek.","manner","Ze spraken in dezelfde stijl."
"stil","silent","Het is stil in de kamer.","quiet","Ze zaten stil te lezen."
"stilte","silence","Er heerste stilte in de zaal.","quietness","De stilte werd verbroken."
"stoel","chair","Ze zitten op een stoel.","seat","De stoel is kapot."
"stof (de)","dust","Er lag stof op de plank.","material","Het stof was grijs."
"stof (het)","fabric","De jurk is van stof gemaakt.","matter","Het stof voelt zacht."
"stok","stick","Hij liep met een stok.","rod","Ze gebruikten een stok."
"stoppen","to stop","Ze moeten bij het licht stoppen.","to quit","Hij stopt met werken."
"straat","street","Ze wonen in dezelfde straat.","road","De straat was rustig."
"straf","punishment","Hij kreeg een straf voor zijn gedrag.","penalty","De straf was streng."
"strak","tight","De broek zit strak.","tense","Ze spraken in een strakke toon."
"straks","later","Ik zie je straks.","soon","Ze komen straks terug."
"strand (het)","beach","Ze gingen naar het strand.","shore","Het strand is breed."
"streek","region","Ze wonen in een mooie streek.","area","Ze bezochten de streek."
"streep","line","Trek een streep onder het antwoord.","stripe","Een streep verf op de muur."
"streng","strict","De leraar is streng.","severe","Ze hadden een strenge winter."
